Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
0,58,0,0.01,-0.03,0.0,0.0,-0.01,0.0,0.01,0.04,-0.01,-0.01,-0.04
0,59,0,0.02,0.01,0.0,-0.01,0.0,0.0,-0.01,0.06,0.03,0.01,-0.04
0,60,0,-0.01,-0.07,0.0,-0.02,-0.01,-0.03,-0.02,0.03,0.26,-0.02,-0.03
1,61,0,-0.05,-0.03,0.0,-0.03,0.0,0.0,-0.02,-0.04,0.6,0.0,-0.02
0,62,1,-0.03,-0.04,0.0,0.02,0.0,0.01,0.0,0.04,0.21,-0.06,0.02
1,63,0,-0.01,0.0,0.0,-0.04,0.01,0.03,0.0,0.12,-0.28,0.0,-0.02
1,64,1,0.05,-0.02,0.01,0.04,0.01,0.02,0.02,0.11,-0.59,0.02,0.01
1,65,1,0.03,0.04,0.0,0.04,0.0,0.01,-0.01,0.07,-0.21,0.03,0.01
0,66,1,0.01,-0.03,0.0,0.1,0.0,0.0,-0.01,0.08,0.0,-0.04,-0.01
1,67,0,-0.04,0.0,-0.01,-0.06,0.0,-0.02,-0.02,-0.01,-0.04,0.01,-0.02
1,68,1,-0.01,-0.04,0.0,-0.05,0.0,-0.02,0.0,-0.09,-0.08,0.0,-0.05
0,69,1,-0.03,0.0,0.0,-0.09,-0.01,-0.01,-0.01,-0.15,-0.01,0.01,-0.01
1,70,0,-0.02,-0.01,0.0,0.0,0.0,0.01,-0.02,-0.12,-0.02,-0.06,0.05
1,71,1,-0.03,-0.03,0.0,0.03,-0.01,0.0,-0.01,-0.07,-0.01,0.02,0.06
0,72,1,0.04,0.0,0.0,0.07,0.0,-0.03,0.0,-0.07,-0.01,0.06,0.01
1,73,0,0.01,0.01,0.0,0.07,0.0,0.0,0.01,-0.09,0.03,0.05,-0.01
1,74,1,0.03,0.03,0.0,0.03,0.01,0.0,0.0,-0.09,0.0,-0.01,-0.07
1,75,1,-0.05,0.03,0.0,0.05,0.01,0.03,-0.01,-0.09,-0.04,-0.03,-0.02
1,76,1,0.0,0.01,0.0,0.03,0.0,0.01,0.0,0.02,-0.02,0.04,0.03
0,77,1,-0.03,0.02,0.0,0.01,0.0,0.03,0.0,0.01,0.08,0.0,0.05
0,78,0,0.02,0.01,0.0,-0.03,-0.01,0.01,0.0,0.05,0.09,0.01,-0.02
1,79,0,0.02,0.03,0.0,-0.08,0.0,0.0,0.0,-0.04,0.02,-0.02,-0.02
0,80,1,0.0,0.0,0.0,-0.03,-0.01,-0.05,-0.01,0.04,0.01,-0.02,-0.02
0,81,0,0.0,0.0,0.0,-0.05,0.0,-0.03,0.0,-0.02,-0.03,-0.01,0.08
1,82,0,-0.02,-0.04,0.0,0.06,-0.01,-0.04,-0.02,0.04,-0.07,-0.04,-0.08
1,83,1,0.0,-0.02,0.0,-0.05,0.0,0.0,0.01,0.07,-0.11,0.01,0.0
0,84,1,-0.03,-0.01,0.0,0.0,0.01,0.0,0.01,0.07,-0.04,-0.05,-0.11
0,85,0,0.01,0.04,0.0,-0.13,0.01,0.02,0.02,0.02,0.06,0.04,0.14
1,86,0,0.04,0.02,0.0,0.02,0.01,0.03,0.0,-0.03,0.04,0.01,0.01
0,87,1,0.07,0.02,0.0,-0.02,0.0,0.0,0.01,0.02,0.02,0.05,0.08
0,88,0,0.02,-0.01,0.0,0.05,0.0,0.03,0.01,0.04,0.01,-0.02,-0.04
0,89,0,0.0,-0.01,0.0,0.04,-0.01,0.03,0.01,0.04,0.02,0.0,0.06
1,90,0,-0.01,-0.01,0.0,0.06,-0.01,0.0,0.0,0.01,0.01,-0.01,0.0
1,91,1,-0.02,0.0,0.01,0.04,0.0,-0.01,0.01,0.0,-0.06,-0.01,-0.06
1,92,1,-0.02,0.03,0.0,-0.02,0.01,-0.02,0.0,0.03,0.0,0.01,-0.05
1,93,1,-0.02,0.01,0.0,-0.08,0.01,0.0,0.0,0.02,0.02,-0.01,0.0
1,94,1,0.03,0.03,-0.01,-0.05,0.0,0.01,0.0,0.07,0.08,0.02,0.07
0,95,1,-0.05,0.01,0.01,-0.05,-0.01,0.0,0.01,-0.05,-0.01,-0.08,0.0
0,96,0,-0.01,0.02,0.0,-0.04,0.0,0.03,0.01,0.06,-0.01,-0.02,0.01
1,97,0,-0.05,-0.05,0.0,-0.02,0.0,-0.02,-0.01,-0.04,-0.06,-0.03,-0.06
1,98,1,0.03,-0.01,-0.01,-0.02,0.01,-0.01,-0.01,0.02,0.02,0.03,-0.02
0,99,1,-0.05,-0.02,0.0,-0.05,-0.01,-0.04,-0.01,-0.22,-0.04,-0.03,-0.05
1,100,0,-0.01,0.02,0.0,0.0,0.0,0.01,0.01,-0.14,-0.03,-0.03,0.07
1,101,1,0.03,0.04,0.01,-0.01,0.01,0.02,0.01,-0.09,0.01,0.0,0.04
0,102,1,0.06,0.1,0.01,0.17,0.01,0.06,0.01,0.07,0.09,0.09,0.09
1,103,0,0.03,0.06,0.0,0.05,0.0,0.04,0.01,0.11,0.07,0.07,-0.05
0,104,1,0.0,0.04,-0.01,0.08,-0.01,0.02,0.0,0.06,0.03,0.07,0.0
1,105,0,-0.01,0.0,-0.01,-0.08,0.01,0.0,0.01,0.03,0.01,0.01,-0.01
1,106,1,0.01,0.03,0.0,-0.01,0.0,-0.03,0.0,-0.01,0.03,-0.02,0.04
0,107,1,-0.01,-0.04,0.0,-0.02,0.0,-0.02,0.01,-0.02,0.01,-0.02,0.02
0,108,0,0.02,-0.07,0.0,0.02,-0.02,-0.02,-0.01,0.02,-0.03,-0.05,-0.04
1,109,0,-0.01,-0.05,0.0,0.0,0.0,0.02,-0.01,0.03,-0.02,0.02,-0.04
1,110,1,0.01,-0.04,0.0,0.01,0.0,0.0,-0.01,0.05,-0.03,0.0,0.01
1,111,1,0.02,-0.02,0.0,0.01,0.0,0.0,-0.01,-0.01,0.02,0.02,0.01
0,112,1,0.03,0.0,0.0,-0.01,-0.01,-0.04,-0.01,-0.01,0.28,0.11,0.02
1,113,0,0.0,0.03,0.0,0.0,0.0,0.04,-0.01,0.0,0.73,0.08,-0.08
1,114,1,-0.01,0.04,0.0,0.01,0.01,0.04,0.0,0.09,0.1,0.05,0.02
