Target,index,lag_1,debt,stocks,dow_jones,markets,unemployment,money,stock_market,crisis,nasdaq,finance,invest
1,677,0,0.3,0.227,0.057,0.36,0.05,0.593,0.1,0.303,0.2,0.467,0.41
0,678,1,0.307,0.237,0.063,0.377,0.05,0.607,0.11,0.333,0.207,0.487,0.423
1,679,0,0.293,0.243,0.067,0.373,0.05,0.603,0.11,0.347,0.21,0.497,0.427
1,680,1,0.277,0.24,0.06,0.38,0.047,0.587,0.11,0.353,0.207,0.503,0.433
1,681,1,0.283,0.23,0.053,0.38,0.043,0.573,0.107,0.343,0.2,0.49,0.44
1,682,1,0.3,0.24,0.06,0.39,0.04,0.57,0.113,0.35,0.21,0.507,0.46
0,683,1,0.303,0.233,0.057,0.39,0.04,0.567,0.11,0.35,0.207,0.5,0.47
1,684,0,0.29,0.223,0.053,0.38,0.04,0.557,0.103,0.343,0.207,0.493,0.45
0,685,1,0.273,0.203,0.05,0.377,0.04,0.55,0.1,0.35,0.2,0.477,0.417
1,686,0,0.267,0.197,0.05,0.377,0.04,0.553,0.1,0.36,0.2,0.477,0.407
0,687,1,0.263,0.197,0.053,0.387,0.04,0.557,0.1,0.38,0.2,0.483,0.413
0,688,0,0.263,0.193,0.047,0.397,0.04,0.557,0.1,0.383,0.187,0.477,0.41
1,689,0,0.267,0.19,0.043,0.393,0.04,0.553,0.097,0.39,0.183,0.47,0.403
1,690,1,0.273,0.193,0.047,0.397,0.04,0.56,0.1,0.41,0.193,0.483,0.407
1,691,1,0.273,0.193,0.047,0.39,0.04,0.57,0.093,0.43,0.21,0.5,0.417
0,692,1,0.267,0.19,0.047,0.393,0.04,0.573,0.093,0.433,0.217,0.503,0.42
0,693,0,0.253,0.183,0.047,0.387,0.04,0.567,0.097,0.403,0.22,0.49,0.413
1,694,0,0.24,0.18,0.05,0.383,0.04,0.56,0.093,0.373,0.213,0.47,0.42
1,695,1,0.23,0.177,0.05,0.383,0.04,0.56,0.09,0.337,0.207,0.45,0.413
1,696,1,0.227,0.177,0.047,0.393,0.04,0.567,0.08,0.317,0.21,0.44,0.413
1,697,1,0.223,0.173,0.047,0.397,0.04,0.567,0.08,0.297,0.227,0.44,0.403
1,698,1,0.227,0.18,0.05,0.397,0.04,0.58,0.08,0.283,0.237,0.453,0.42
0,699,1,0.227,0.177,0.05,0.4,0.04,0.58,0.083,0.267,0.237,0.46,0.417
1,700,0,0.227,0.177,0.047,0.417,0.04,0.583,0.083,0.25,0.223,0.453,0.407
1,701,1,0.227,0.173,0.043,0.433,0.04,0.577,0.08,0.24,0.217,0.46,0.39
0,702,1,0.227,0.177,0.04,0.433,0.04,0.58,0.077,0.237,0.21,0.463,0.39
1,703,0,0.23,0.18,0.043,0.427,0.04,0.58,0.077,0.237,0.227,0.483,0.41
1,704,1,0.24,0.183,0.05,0.42,0.04,0.577,0.083,0.243,0.243,0.49,0.417
0,705,1,0.243,0.187,0.057,0.42,0.04,0.57,0.09,0.26,0.247,0.49,0.437
