date,start,unadjusted,pct_change,adjusted,normalised,monthly,debt,color,stocks,restaurant,portfolio,inflation,housing,dow_jones,revenue,economics,credit,markets,return,unemployment,money,religion,cancer,growth,investment,hedge,marriage,bonds,derivatives,headlines,profit,society,leverage,loss,cash,office,fine,stock_market,banking,crisis,happy,car,nasdaq,gains,finance,sell,invest,fed,house,metals,travel,returns,gain,default,present,holiday,water,rich,risk,gold,success,oil,war,economy,chance,lifestyle,greed,food,movie,nyse,ore,opportunity,health,earnings,arts,culture,bubble,buy,trader,tourism,politics,energy,consume,consumption,freedom,dividend,world,conflict,kitchen,forex,home,transaction,garden,fond,train,labor,fun,environment,ring,close
2004-01-11,0,21,0.72,9,2,12.67741935483871,11,18,18,50,24,18,60,0,6,21,24,16,28,4,20,51,32,48,39,16,5,9,1,8,27,51,1,35,1000,28,47,4,10,45,4,62,6,16,19,54,14,8,30,7,46,7,21,14,7,6,14,13,45,9,9,15,26,28,2,17,25,38,43,0,31,20,21,17,44,25,32,20,45,55,6,32,0,34,25,16,15,26,36,24,53,24,26,28,20,3,52,16,60,10458.8896484375
2004-01-12,0,59,2.81,24,5,12.64516129032258,12,15,19,48,44,20,70,0,13,34,35,28,23,6,21,53,40,72,86,22,5,11,0,18,74,68,1,40,800,49,49,7,17,23,3,56,15,10,24,44,30,15,28,21,44,8,24,24,16,6,15,15,48,10,9,18,26,39,3,20,1,35,27,1,13,21,30,28,45,21,26,18,35,70,9,43,0,42,28,24,14,36,26,19,50,40,26,53,14,4,41,26,45,10485.1796875
2004-01-13,0,54,0.92,22,5,12.612903225806456,10,14,20,53,59,14,76,0,12,27,36,30,22,5,22,44,41,48,79,21,6,12,1,13,69,78,15,34,800,48,37,5,19,45,4,56,14,24,27,42,34,28,31,5,44,8,19,22,16,5,14,15,47,9,12,16,28,42,3,18,12,36,26,1,12,19,28,15,42,24,28,16,28,61,12,44,1,38,27,19,14,19,23,9,47,39,21,45,15,5,35,26,44,10427.1796875
2004-01-14,0,64,1.19,26,6,12.580645161290322,14,16,21,55,49,15,56,0,14,31,35,12,21,4,21,56,40,53,85,21,5,14,1,20,45,78,1,38,900,45,47,5,13,38,3,56,16,15,31,36,20,18,31,33,46,7,19,33,19,6,13,14,53,9,12,18,27,31,5,18,7,38,24,1,48,18,28,40,41,21,28,14,34,57,11,41,0,45,28,25,15,39,21,19,45,39,25,11,14,4,39,28,37,10538.3701171875
2004-01-15,0,53,0.83,22,5,12.548387096774194,10,15,23,52,46,13,67,0,13,38,35,20,22,4,20,56,35,68,73,14,5,11,1,13,81,72,23,34,900,49,46,7,15,37,4,61,16,24,28,41,16,23,28,28,42,5,17,36,13,5,14,13,47,10,13,17,25,32,4,11,11,35,27,0,25,23,26,33,43,23,28,14,32,63,13,41,0,32,26,18,15,40,23,37,44,21,20,23,17,4,49,22,40,10553.849609375
2004-01-16,0,93,1.75,38,9,12.516129032258064,11,16,22,63,43,12,49,0,12,39,33,33,27,4,24,39,37,47,65,20,5,11,0,18,54,89,17,32,800,45,57,8,17,43,4,57,16,24,26,46,17,28,28,28,38,7,14,28,14,5,13,13,45,10,13,15,22,24,3,28,1,33,33,1,25,18,25,26,44,18,20,14,28,70,9,36,1,23,23,20,14,25,23,35,44,33,21,36,17,4,47,32,42,10600.509765625
2004-01-17,0,33,0.35,13,3,12.483870967741936,9,16,19,66,52,7,38,0,6,22,31,20,28,2,18,45,31,56,41,18,5,10,0,16,31,69,1,34,900,40,54,4,12,32,5,69,10,16,19,57,12,15,28,30,42,6,14,21,10,5,11,16,35,12,13,17,18,15,3,26,12,31,45,0,40,17,19,15,42,14,26,18,40,50,8,30,0,28,24,22,13,25,32,15,50,23,32,38,19,2,47,19,49,10600.509765625
2004-01-18,0,46,1.39,19,4,12.451612903225806,9,17,20,56,47,10,54,0,7,24,28,21,28,3,23,38,28,40,62,28,6,9,0,22,45,56,1,34,1000,34,67,5,10,34,4,64,12,13,14,51,18,11,32,14,39,9,14,26,13,5,13,10,42,11,8,15,20,18,4,33,1,35,46,1,41,17,17,17,35,14,26,20,47,50,7,25,0,34,27,15,14,26,48,15,50,19,31,1,20,3,52,11,56,10600.509765625
2004-01-19,0,62,1.35,25,6,12.419354838709678,12,15,20,43,44,12,59,0,11,18,33,33,28,4,20,46,38,55,65,15,5,9,1,11,49,71,36,35,800,41,41,8,10,28,4,57,14,17,24,49,15,16,31,16,49,7,16,34,14,7,15,13,45,11,10,17,20,24,3,24,8,28,36,1,34,17,24,13,42,15,24,18,41,67,9,34,0,37,24,21,14,46,32,32,51,38,25,13,20,4,44,25,48,10600.509765625
2004-01-20,0,52,0.84,21,5,12.387096774193544,12,16,23,48,49,14,64,0,13,31,36,27,24,4,19,54,34,47,78,26,6,12,1,15,69,86,15,38,800,45,54,8,19,30,3,56,16,17,28,42,22,24,30,23,44,12,15,31,20,5,15,15,53,9,12,16,28,39,5,23,10,34,25,0,12,12,30,17,47,21,28,15,31,60,14,46,0,48,23,16,14,32,27,19,46,50,24,34,15,4,42,21,41,10528.66015625
